   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 3	 3- 4	 0- 0	    10015.53	Ej Spelad	1.00	 1
 0- 3	 3- 5	 0- 0	    12241.20	Ej Spelad	1.00	 1
 0- 3	 4- 3	 0- 0	    11806.36	Ej Spelad	1.00	 1
 0- 3	 4- 6	 0- 0	    12961.27	Ej Spelad	1.00	 1
 0- 3	 6- 4	 0- 0	    13282.15	Ej Spelad	1.00	 1
 1- 2	 0- 3	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 1- 2	 0- 0	     6677.02	Ej Spelad	1.00	 1
 1- 2	 1- 3	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 1- 4	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 1- 5	 0- 0	     9180.90	Ej Spelad	1.00	 1
 1- 2	 2- 4	 0- 0	    10492.46	Ej Spelad	1.00	 1
 1- 2	 2- 5	 0- 0	     9180.90	Ej Spelad	1.00	 1
 1- 2	 2- 6	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 2- 7	 0- 0	    12241.20	Ej Spelad	1.00	 1
 1- 2	 2- 8	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 3- 4	 0- 0	     3338.51	Ej Spelad	1.00	 1
 1- 2	 3- 5	 0- 0	     4080.40	Ej Spelad	1.00	 1
 1- 2	 3- 6	 0- 0	     6677.02	Ej Spelad	1.00	 1
 1- 2	 4- 1	 0- 0	    13282.15	Ej Spelad	1.00	 1
 1- 2	 4- 2	 0- 0	     9659.75	Ej Spelad	1.00	 1
 1- 2	 4- 3	 0- 0	     3935.45	Ej Spelad	1.00	 1
 1- 2	 4- 5	 0- 0	     6677.02	Ej Spelad	1.00	 1
 1- 2	 4- 6	 0- 0	     4320.42	Ej Spelad	1.00	 1
 1- 2	 4- 7	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 5- 1	 0- 0	     9659.75	Ej Spelad	1.00	 1
 1- 2	 5- 2	 0- 0	     9659.75	Ej Spelad	1.00	 1
 1- 2	 5- 3	 0- 0	     5059.87	Ej Spelad	1.00	 1
 1- 2	 5- 4	 0- 0	     5312.86	Ej Spelad	1.00	 1
 1- 2	 5- 5	 0- 0	     5361.11	Ej Spelad	1.00	 1
 1- 2	 5- 6	 0- 0	     9180.90	Ej Spelad	1.00	 1
 1- 2	 5- 7	 0- 0	    14689.44	Ej Spelad	1.00	 1
 1- 2	 6- 3	 0- 0	     5312.86	Ej Spelad	1.00	 1
 1- 2	 6- 4	 0- 0	     4427.38	Ej Spelad	1.00	 1
 1- 2	 6- 5	 0- 0	    10625.72	Ej Spelad	1.00	 1
 1- 3	 1- 5	 0- 0	    11804.02	Ej Spelad	1.00	 1
 1- 3	 3- 5	 0- 0	     5246.23	Ej Spelad	1.00	 1
 1- 3	 5- 6	 0- 0	    11804.02	Ej Spelad	1.00	 1
 1- 4	 1- 5	 0- 0	    11804.02	Ej Spelad	1.00	 1
 1- 5	 1- 5	 0- 0	    11804.02	Ej Spelad	1.00	 1
 2- 0	 1- 2	 0- 0	    13388.64	Ej Spelad	1.00	 1
 2- 0	 2- 1	 0- 0	    14204.33	Ej Spelad	1.00	 1
 2- 0	 2- 2	 0- 0	     4607.14	Ej Spelad	1.00	 1
 2- 0	 2- 3	 0- 0	    10519.64	Ej Spelad	1.00	 1
 2- 0	 3- 2	 0- 0	    13316.56	Ej Spelad	1.00	 1
 2- 0	 3- 3	 0- 0	     4031.25	Ej Spelad	1.00	 1
 2- 0	 3- 4	 0- 0	     6694.32	Ej Spelad	1.00	 1
 2- 0	 3- 5	 0- 0	     8181.94	Ej Spelad	1.00	 1
 2- 0	 3- 6	 0- 0	    13388.64	Ej Spelad	1.00	 1
 2- 0	 4- 3	 0- 0	     7891.30	Ej Spelad	1.00	 1
 2- 0	 4- 5	 0- 0	    13388.64	Ej Spelad	1.00	 1
 2- 0	 4- 6	 0- 0	     8663.24	Ej Spelad	1.00	 1
 2- 0	 5- 3	 0- 0	    10145.95	Ej Spelad	1.00	 1
 2- 0	 5- 4	 0- 0	    10653.25	Ej Spelad	1.00	 1
 2- 0	 5- 5	 0- 0	    10750.00	Ej Spelad	1.00	 1
