   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 4	    29231.08	Ej Spelad	1.00	 1
 0- 0	 0- 0	 1- 4	    18752.01	Ej Spelad	1.00	 1
 0- 0	 0- 0	 1- 5	    73619.01	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 5	    90350.61	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 0	     3922.72	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 4	    46225.89	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 0	     9994.05	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 1	     8499.22	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 2	    12748.83	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 3	    47352.79	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 4	    71154.38	Ej Spelad	1.00	 1
 0- 0	 0- 0	 5- 0	    25497.65	Ej Spelad	1.00	 1
 0- 0	 0- 0	 5- 1	    36829.94	Ej Spelad	1.00	 1
 0- 0	 0- 0	 5- 2	    82867.38	Ej Spelad	1.00	 1
 0- 0	 0- 0	 6- 0	    86470.30	Ej Spelad	1.00	 1
 0- 0	 0- 1	 1- 5	    67613.52	Ej Spelad	1.00	 1
 0- 0	 0- 1	 2- 5	    82980.23	Ej Spelad	1.00	 1
 0- 0	 0- 1	 3- 2	     4845.04	Ej Spelad	1.00	 1
 0- 0	 0- 1	 3- 4	    42455.00	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 0	     9178.79	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 1	     7805.89	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 2	    11708.84	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 3	    43489.96	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 4	    65349.94	Ej Spelad	1.00	 1
 0- 0	 0- 1	 5- 0	    23417.67	Ej Spelad	1.00	 1
 0- 0	 0- 1	 5- 1	    33825.53	Ej Spelad	1.00	 1
 0- 0	 0- 1	 5- 2	    76107.45	Ej Spelad	1.00	 1
 0- 0	 0- 1	 6- 0	    79416.45	Ej Spelad	1.00	 1
 0- 0	 0- 1	 6- 1	    96135.71	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 0	     6161.09	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 1	     4873.13	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 2	     8285.61	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 3	    22617.37	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 4	    72603.26	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 0	    15696.85	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 1	    13349.03	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 2	    20023.55	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 3	    74373.18	Ej Spelad	1.00	 1
 0- 0	 0- 2	 5- 0	    40047.10	Ej Spelad	1.00	 1
 0- 0	 0- 2	 5- 1	    57845.80	Ej Spelad	1.00	 1
 0- 0	 0- 3	 3- 1	     9372.50	Ej Spelad	1.00	 1
 0- 0	 0- 3	 3- 2	    15935.74	Ej Spelad	1.00	 1
 0- 0	 0- 3	 3- 3	    43500.08	Ej Spelad	1.00	 1
 0- 0	 0- 3	 4- 0	    30189.81	Ej Spelad	1.00	 1
 0- 0	 0- 3	 4- 1	    25674.25	Ej Spelad	1.00	 1
 0- 0	 0- 3	 4- 2	    38511.37	Ej Spelad	1.00	 1
 0- 0	 0- 3	 5- 0	    77022.73	Ej Spelad	1.00	 1
 0- 0	 0- 4	 0- 1	    16870.17	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 0	    17020.46	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 1	    14561.95	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 3	    68170.55	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 0	    36189.47	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 1	    28624.12	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 2	    48668.60	Ej Spelad	1.00	 1
 0- 0	 0- 4	 4- 0	    92201.31	Ej Spelad	1.00	 1
 0- 0	 0- 4	 4- 1	    78410.52	Ej Spelad	1.00	 1
 0- 0	 0- 5	 0- 1	    72022.67	Ej Spelad	1.00	 1
 0- 0	 0- 5	 1- 1	    40375.10	Ej Spelad	1.00	 1
 0- 0	 0- 5	 1- 2	    80131.68	Ej Spelad	1.00	 1
 0- 0	 0- 5	 2- 0	    72664.30	Ej Spelad	1.00	 1
 0- 0	 0- 5	 2- 1	    62168.35	Ej Spelad	1.00	 1
 0- 0	 0- 5	 2- 2	    98435.16	Ej Spelad	1.00	 1
 0- 0	 1- 0	 0- 4	    27563.57	Ej Spelad	1.00	 1
 0- 0	 1- 0	 0- 5	    98648.57	Ej Spelad	1.00	 1
 0- 0	 1- 0	 1- 4	    17682.29	Ej Spelad	1.00	 1
 0- 0	 1- 0	 1- 5	    69419.37	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 4	    20825.81	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 5	    85196.49	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	     3698.94	Ej Spelad	1.00	 1
