   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 0- 2	 3- 3	    82630.70	 4.917	0.51	 1
 0- 1	 0- 3	 2- 2	    82630.70	 4.917	0.51	 1
 0- 1	 0- 3	 3- 3	    61973.03	 6.556	0.66	 1
 0- 1	 1- 0	 2- 1	   240513.13	Ej Spelad	1.00	 1
 0- 1	 1- 0	 2- 2	   125607.99	Ej Spelad	1.00	 1
 0- 1	 1- 0	 3- 1	   231154.63	Ej Spelad	1.00	 1
 0- 1	 1- 0	 3- 2	   189797.91	Ej Spelad	1.00	 1
 0- 1	 1- 0	 3- 3	    94206.00	Ej Spelad	1.00	 1
 0- 1	 1- 0	 4- 2	   225881.14	Ej Spelad	1.00	 1
 0- 1	 1- 0	 4- 4	   188412.00	Ej Spelad	1.00	 1
 0- 1	 1- 2	 0- 3	   208763.16	Ej Spelad	1.00	 1
 0- 1	 1- 2	 1- 2	   111615.94	Ej Spelad	1.00	 1
 0- 1	 1- 2	 1- 3	   109448.64	Ej Spelad	1.00	 1
 0- 1	 1- 2	 1- 4	   118665.37	Ej Spelad	1.00	 1
 0- 1	 1- 2	 2- 0	   222266.77	Ej Spelad	1.00	 1
 0- 1	 1- 2	 2- 1	    73788.97	Ej Spelad	1.00	 1
 0- 1	 1- 2	 2- 2	    38536.29	Ej Spelad	1.00	 1
 0- 1	 1- 2	 2- 3	   101560.45	Ej Spelad	1.00	 1
 0- 1	 1- 2	 2- 4	   117429.27	Ej Spelad	1.00	 1
 0- 1	 1- 2	 2- 5	   158777.61	Ej Spelad	1.00	 1
 0- 1	 1- 2	 3- 0	   135006.47	Ej Spelad	1.00	 1
 0- 1	 1- 2	 3- 1	    70917.80	Ej Spelad	1.00	 1
 0- 1	 1- 2	 3- 2	    58229.63	Ej Spelad	1.00	 1
 0- 1	 1- 2	 3- 3	    28902.22	Ej Spelad	1.00	 1
 0- 1	 1- 2	 3- 4	   146405.33	Ej Spelad	1.00	 1
 0- 1	 1- 2	 3- 5	   163379.86	Ej Spelad	1.00	 1
 0- 1	 1- 2	 4- 1	    78899.89	Ej Spelad	1.00	 1
 0- 1	 1- 2	 4- 2	    69299.91	Ej Spelad	1.00	 1
 0- 1	 1- 2	 4- 3	   105351.88	Ej Spelad	1.00	 1
 0- 1	 1- 2	 4- 4	    57804.44	Ej Spelad	1.00	 1
 0- 1	 1- 2	 5- 1	   146982.86	Ej Spelad	1.00	 1
 0- 1	 1- 2	 5- 2	    99053.66	Ej Spelad	1.00	 1
 0- 1	 1- 2	 5- 3	   133035.58	Ej Spelad	1.00	 1
 0- 1	 1- 2	 6- 3	   233665.05	Ej Spelad	1.00	 1
 0- 1	 1- 3	 0- 3	   235122.14	Ej Spelad	1.00	 1
